SubmitTime,UserID,Used Memory,RunTime
1145105031,13,572408,28144
1147973683,13,0,2
1151735357,12,25672,63
1146700857,20,1398692,29944
1153899952,12,596472,46255
1147487338,13,20252,63
1147866459,13,148844,1794
1149446929,13,90056,181
1151730013,12,604380,32335
1150801600,13,53608,3606
1152987683,12,615464,38790
1149388262,19,619268,19211
1146413689,19,588112,1583
1153746523,12,80312,431
1147724605,13,579152,16593
1151791594,2,64212,82
1153721768,12,74816,239
1146182853,13,63332,3682
1153726898,2,67280,247
1152628536,12,1568496,28688
1150817805,13,72748,1850
1150970747,8,601932,45692
1147459540,13,61092,1858
1150495184,21,0,2
1139851253,8,563180,21635
1147701904,13,642992,42510
1151715538,12,25656,61
1148242549,13,92552,8039
1153006080,12,621584,42005
