Used Memory,OrigSiteID,AverageCPUTimeUsed,RunTime
579256,0,25822,32249
578924,2,19006,22359
1105608,2,21210,21976
20316,1,9,58
596448,2,38974,40426
615188,2,33581,33846
0,2,1,2
65084,2,9,64
67256,1,9,252
109940,2,38,174
588116,2,1233,1449
615112,2,22676,22907
72212,2,8,168
590056,1,40423,40619
60968,1,10,976
570724,1,51100,52113
599628,2,40766,41970
25664,2,8,51
583408,2,26474,28145
582848,2,18254,20065
598440,2,5585,5836
606544,2,4803,5011
559988,1,1478,2151
599016,0,29111,29573
616592,2,36533,36929
1095268,2,315,860
67260,1,9,248
0,0,1,1
62004,0,18,954
602724,2,40921,42198
75356,2,9,1852
581452,1,33057,34020
85200,2,8,251
68856,2,9,73
0,2,1,2
1566324,2,26309,31503
1147728,2,36019,36245
604956,1,47614,48683
613976,2,21819,22289
580284,1,46227,52796
620272,2,28184,28623
1348416,2,25754,28172
689292,2,41783,42338
615036,2,23497,23741
566592,1,21138,32678
1578528,2,26674,30326
85172,2,19,2815
588096,2,1164,1392
1396940,2,28350,30898
595772,2,36989,37860
80208,2,7,434
74780,2,8,55
25676,2,7,72
1643904,2,29416,33816
596688,2,39039,40124
556024,1,10744,11019
60332,1,9,92
586788,0,172917,173596
559460,1,1458,2133
569436,1,25658,26160
64264,1,10,53
1579072,2,27769,29917
25696,2,8,61
0,2,1,2
0,2,1,2
0,0,1,2
61940,1,29,1852
74788,2,9,73
608928,2,22894,24003
0,1,1,1
586908,1,50680,52301
552196,1,1604,2204
72556,2,16,3684
616352,2,36127,36601
674632,2,41142,41539
0,0,0,1
25632,2,9,58
598892,2,5898,6136
59880,1,8,1851
68860,2,9,88
57152,1,9,1852
601916,2,61826,62304
594796,2,38180,38916
73908,2,11,101
62916,0,8,86
70436,2,7,60
594212,2,20493,23754
570516,1,32313,33325
588032,2,1261,1511
512864,0,1353,1641
25696,2,8,69
55544,1,10,70
188612,2,40,212
1559108,2,31430,65840
79272,2,7,78
86492,2,25,3784
56008,0,9,63
25696,2,9,57
25668,2,7,50
579924,2,15867,16528
598896,2,5710,5914
71216,0,58,9083
591716,2,172824,174904
617704,2,19053,19476
20288,0,9,55
625856,2,42717,45305
611580,2,33371,34141
72132,2,8,63
1544532,2,24562,27533
25676,2,8,70
652468,2,43251,43605
57240,1,8,1854
593796,2,31701,32468
0,1,1,1
25696,2,7,53
587008,2,25424,26893
618128,2,41576,41845
64700,0,9,1849
588112,2,1155,1422
1412764,2,28134,30632
598256,2,42988,43423
597356,2,25606,26655
581948,1,44052,48908
79296,2,11,83
567804,1,26768,27662
559892,1,1535,2350
1444984,2,22441,23893
25660,2,9,72
580804,2,16619,17434
1571988,2,31647,37974
72232,2,8,169
72720,2,24,1848
78812,2,14,248
1551520,2,31106,34829
1188204,2,21807,32316
581192,2,16203,16835
0,2,1,2
580340,1,26217,29648
68916,2,8,65
0,2,0,2
20292,0,9,65
0,2,1,1
607340,2,41945,48940
604128,2,6037,6237
25680,2,9,60
64820,0,12,1851
583296,0,48816,49177
59928,1,8,1853
608860,2,6492,6548
588044,2,172896,173716
106744,2,43,4066
953408,2,1937,7081
594936,2,25009,25210
1152612,2,16007,21055
0,0,3,4
559240,1,560,1063
593616,2,31125,31988
588132,2,1168,1540
615012,2,34218,34631
84740,2,53,10470
582240,0,6981,7145
74796,2,8,63
559168,1,1498,2108
74780,2,9,91
61904,1,28,1851
606664,1,28224,28679
619092,0,54827,55135
593440,2,31877,32155
79264,2,8,52
117836,2,40,256
598860,0,29158,32712
583672,0,43621,44805
602096,2,38716,39620
588980,0,46006,46866
583092,1,39704,41243
25664,2,7,54
589528,2,28092,29071
79264,2,9,54
107592,2,44,248
1640188,2,28970,33071
595808,2,36010,36268
570980,0,172853,174036
0,2,1,1
593864,2,172881,173232
71856,2,9,962
25656,2,8,68
20744,2,10,80
0,0,3,4
1686208,2,8492,9603
581436,2,18861,20348
589748,2,18899,19709
597056,2,40659,41000
1443012,0,35193,90267
68896,2,8,58
0,2,0,2
927600,1,187,437
0,1,1,1
597620,2,41344,42548
1562540,2,31505,37245
85192,2,9,67
604076,2,40603,42751
597440,1,24554,24942
595200,2,32255,32916
1395316,2,27435,30466
588008,2,23737,24929
57024,0,8,66
25676,2,8,59
599768,2,43322,43918
595880,2,32806,33412
594356,2,35296,35849
568488,1,23597,24099
588084,2,1150,1389
1570792,2,30803,34162
0,2,3,9
584052,0,6582,6686
583564,2,17346,18301
20324,1,9,47
570560,1,20535,21521
560068,1,2227,10871
25668,2,9,76
79272,2,9,69
79272,2,8,60
1372320,2,22786,24070
16412,0,9,81
0,2,1,2
569240,1,23644,26404
73880,2,9,61
582440,1,47433,48881
80300,2,8,261
598808,2,5909,6135
582168,2,19296,20950
80296,2,8,453
80248,2,8,265
596044,2,25061,26421
583608,0,57679,57987
600020,2,37809,38091
618132,2,19603,20076
569432,1,26815,29972
75188,2,8,1853
593496,2,40661,41261
79256,2,9,61
615260,2,32667,32969
57160,1,10,1851
1575556,2,30897,33712
588048,2,1215,1511
1250820,2,23443,26059
71740,2,9,1851
588096,2,1230,1527
596124,2,40902,47520
1044004,2,6916,7736
598972,2,49708,50155
596948,2,32231,32888
609936,2,39736,40286
1050160,2,16975,19310
631020,2,34046,34298
228904,2,38,170
600024,2,79808,79989
615564,2,22115,22364
64152,1,8,59
85908,2,9,69
25656,2,8,45
25696,2,8,66
82860,2,39,348
1774132,2,29506,32977
0,2,0,1
20264,0,8,57
603728,2,35892,36640
82364,2,17,6184
30640,2,10,91
583996,2,24822,25601
586456,2,17599,18929
53560,2,3,3608
74820,2,8,83
602152,2,32327,32618
601432,2,31346,31873
618816,2,27889,28169
0,2,1,2
615060,2,23831,24049
597048,2,33978,34326
20708,2,9,80
603500,0,28473,28982
0,2,0,2
598208,2,5947,6158
20268,1,9,61
1245756,2,23410,38131
25668,2,8,74
0,2,3,6
591124,2,36548,37106
568304,1,34713,35576
25688,2,8,63
593764,2,30565,31908
588136,2,1161,1411
20320,0,9,52
300732,0,12591,12669
607748,2,172840,173274
79232,2,8,68
598856,2,5958,6168
597560,2,25073,25346
588020,2,1209,1567
0,2,0,1
0,2,8,64
575248,1,30410,31092
59664,1,9,1855
25680,2,10,74
597828,2,42031,42371
74900,2,9,240
597852,2,42960,44435
581776,1,46953,47418
75348,2,27,1853
20300,0,9,53
584092,1,79944,80019
935676,1,219,550
597944,2,44845,45270
0,2,0,2
25664,2,8,51
584184,2,21704,22538
0,1,1,1
591824,2,41438,42385
62360,0,10,57
598752,2,45314,45854
0,2,0,2
63488,1,14,1856
551680,1,575,1098
79296,2,9,63
61836,1,28,1851
79240,2,8,75
67324,0,10,69
53552,2,3,3607
1604748,2,31828,69354
556032,1,1587,2643
68896,2,9,69
63812,2,3,190
63892,2,1,155
591084,2,36789,38019
595292,2,26518,29219
16420,0,9,98
0,2,1,2
63884,2,4,196
80292,2,7,243
599044,2,46563,46984
586672,0,55669,56155
60852,1,9,1852
592440,2,79877,80009
1503992,2,23554,24992
71864,2,9,1854
25684,2,9,70
20288,0,9,62
61460,2,9,73
584080,0,60367,60761
79236,2,8,67
588292,2,1170,1468
63104,1,9,130
599900,2,28834,29544
71996,2,8,959
598876,2,5779,6002
105508,2,36,5987
580952,2,21604,22936
72652,2,9,1853
616616,2,26442,26671
570860,1,30350,32411
551948,1,564,1164
598412,2,43303,45483
25656,2,9,50
601860,2,44487,46705
70712,2,8,65
581204,2,18029,19018
580424,1,50021,51387
0,2,0,19619
60380,0,9,95
592788,2,33362,34813
20280,1,9,65
43904,1,4,3609
80232,2,8,442
581240,2,20952,22013
552192,1,1460,2122
604900,0,29024,30125
574348,1,37327,38392
75284,2,12,1851
1381880,2,23465,34311
77616,2,14,150
581788,2,21125,23881
25668,2,8,59
